ts,visitor_uuid,visitor_source,visitor_device,visitor_useragent,visitor_ip,visitor_country,visitor_referrer,env_type,env_doc_id,event_type,subject_type,subject_doc_id,subject_page,cause_type,event_readtime,env_ranking,env_build,env_name,env_component,visitor_username,event_index,subject_infoboxid,subject_url,cause_position,cause_adid,env_adid,cause_embedid
1393631985,98746ae2781c8990,external,browser,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),4a67bfb920d6bc18,CL,64f729926497515c,reader,131203113356-9582d24b55941e7606a857c992a0de9b,impression,doc,131203113356-9582d24b55941e7606a857c992a0de9b,32.0,page,,,,,,,,,,,,,
1393631985,2354932f71f39d67,external,browser,Mozilla/5.0 (X11; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0,cf83b8b0deafe97e,SE,64f729926497515c,reader,140113081224-b2591909814c80aaa69e036584c6c5d3,impression,doc,140113081224-b2591909814c80aaa69e036584c6c5d3,84.0,page,,,,,,,,,,,,,
1393631985,2cb7c83e5785bc46,external,browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",82d2ca806b58bfe2,AR,64f729926497515c,reader,140120221945-d0d1751cf376fbc0ac05118be047f3c3,impression,doc,140120221945-d0d1751cf376fbc0ac05118be047f3c3,30.0,page,,,,,,,,,,,,,
1393631985,2cb7c83e5785bc46,external,browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",82d2ca806b58bfe2,AR,64f729926497515c,reader,140120221945-d0d1751cf376fbc0ac05118be047f3c3,impression,doc,140120221945-d0d1751cf376fbc0ac05118be047f3c3,31.0,page,,,,,,,,,,,,,
1393631985,3ec465aa8f36302b,external,browser,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",960fd0a5aba9e9d0,RU,3d9ed570b52ccd0a,reader,140224101516-e5c074c3404177518bab9d7a65fb578e,impression,doc,140224101516-e5c074c3404177518bab9d7a65fb578e,18.0,page,,,,,,,,,,,,,
1393631985,3ec465aa8f36302b,external,browser,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",960fd0a5aba9e9d0,RU,3d9ed570b52ccd0a,reader,140224101516-e5c074c3404177518bab9d7a65fb578e,impression,doc,140224101516-e5c074c3404177518bab9d7a65fb578e,19.0,page,,,,,,,,,,,,,
1393631985,50be72cb4077af70,external,browser,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",75dae132ea3395f4,SI,3d9ed570b52ccd0a,reader,130215072013-0eded41004ba4160a7023bdbedb33beb,impression,doc,130215072013-0eded41004ba4160a7023bdbedb33beb,32.0,page,,,,,,,,,,,,,
1393631984,f27608ade47c7ed6,internal,browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:27.0) Gecko/20100101 Firefox/27.0,c6da386a74edb150,ES,64f729926497515c,reader,130530183813-04cbc200a5d7a9caa3f4620e2f0d49f0,pagereadtime,doc,130530183813-04cbc200a5d7a9caa3f4620e2f0d49f0,44.0,,1003.0,,,,,,,,,,,,
1393631984,f27608ade47c7ed6,internal,browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:27.0) Gecko/20100101 Firefox/27.0,c6da386a74edb150,ES,64f729926497515c,reader,130530183813-04cbc200a5d7a9caa3f4620e2f0d49f0,pagereadtime,doc,130530183813-04cbc200a5d7a9caa3f4620e2f0d49f0,45.0,,1007.0,,,,,,,,,,,,
1393631984,361907ef85499a12,external,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9",e929d98859891bf2,US,bbaa70b8427ea0d3,reader,140228162605-1436a692f1224a1eb1396d7ffe21c2b8,pagereadtime,doc,140228162605-1436a692f1224a1eb1396d7ffe21c2b8,16.0,,3000.0,,,,,,,,,,,,
1393631984,361907ef85499a12,external,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9",e929d98859891bf2,US,bbaa70b8427ea0d3,reader,140228162605-1436a692f1224a1eb1396d7ffe21c2b8,pagereadtime,doc,140228162605-1436a692f1224a1eb1396d7ffe21c2b8,17.0,,3000.0,,,,,,,,,,,,
1393631985,43dd7a8b2fafe059,external,browser,Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16,247f01ba72295507,UA,afcf178c047efc16,reader,140224101516-e5c074c3404177518bab9d7a65fb578e,impression,doc,140224101516-e5c074c3404177518bab9d7a65fb578e,8.0,page,,,,,,,,,,,,,
1393631985,43dd7a8b2fafe059,external,browser,Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16,247f01ba72295507,UA,afcf178c047efc16,reader,140224101516-e5c074c3404177518bab9d7a65fb578e,impression,doc,140224101516-e5c074c3404177518bab9d7a65fb578e,9.0,page,,,,,,,,,,,,,
1393631984,ca8079a4aaff28cb,external,browser,"Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B141 Safari/8536.25",a282eb79513e61f6,MX,aa084e2bd63b29e6,reader,140228202800-6ef39a241f35301a9a42cd0ed21e5fb0,pagereadtime,doc,140228202800-6ef39a241f35301a9a42cd0ed21e5fb0,1.0,,8001.0,,,,,,,,,,,,
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,pagereadtime,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,14.0,,2002.0,,,,,,,,,,,,
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,pagereadtime,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,14.0,,814.0,,,,,,,,,,,,
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,impression,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,15.0,page,,,,,,,,,,,,,
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,pageread,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,15.0,,,,,,,,,,,,,,
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,pagereadtime,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,15.0,,837.0,,,,,,,,,,,,
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,impression,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,16.0,page,,,,,,,,,,,,,
